"Step","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__1__1745790578 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__3__1745790573 - charts/local_optimality_gap__MAX","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MIN","SpaceInvadersNoFrameskip-v4__dqn_atari__2__1745790573 - charts/local_optimality_gap__MAX"
"119","383.5378112792969","383.5378112792969","383.5378112792969","370.28570556640625","370.28570556640625","370.28570556640625","244.63865661621094","244.63865661621094","244.63865661621094"
"120","356.79168701171875","356.79168701171875","356.79168701171875","355.45831298828125","355.45831298828125","355.45831298828125","226.4583282470703","226.4583282470703","226.4583282470703"
"121","356.34295654296875","356.34295654296875","356.34295654296875","355.71624755859375","355.71624755859375","355.71624755859375","226.7286376953125","226.7286376953125","226.7286376953125"
"122","355.53277587890625","355.53277587890625","355.53277587890625","355.8879699707031","355.8879699707031","355.8879699707031","226.9535369873047","226.9535369873047","226.9535369873047"
"123","355.71136474609375","355.71136474609375","355.71136474609375","356.13818359375","356.13818359375","356.13818359375","226.1991729736328","226.1991729736328","226.1991729736328"
"124","355.5242004394531","355.5242004394531","355.5242004394531","357.1505126953125","357.1505126953125","357.1505126953125","226.50537109375","226.50537109375","226.50537109375"
"125","355.3399963378906","355.3399963378906","355.3399963378906","358.26666259765625","358.26666259765625","358.26666259765625","226.16665649414062","226.16665649414062","226.16665649414062"
"126","356.3492126464844","356.3492126464844","356.3492126464844","359.126953125","359.126953125","359.126953125","226.94442749023438","226.94442749023438","226.94442749023438"
"127","356.16143798828125","356.16143798828125","356.16143798828125","359.89501953125","359.89501953125","359.89501953125","227.08004760742188","227.08004760742188","227.08004760742188"
"128","356.7578125","356.7578125","356.7578125","359.3229064941406","359.3229064941406","359.3229064941406","244.30990600585938","244.30990600585938","244.30990600585938"
"129","356.33721923828125","356.33721923828125","356.33721923828125","359.7286682128906","359.7286682128906","359.7286682128906","244.53489685058594","244.53489685058594","244.53489685058594"
"130","356.1538391113281","356.1538391113281","356.1538391113281","360.24359130859375","360.24359130859375","360.24359130859375","243.9871826171875","243.9871826171875","243.9871826171875"
"131","357.0038146972656","357.0038146972656","357.0038146972656","360.48345947265625","360.48345947265625","360.48345947265625","244.47837829589844","244.47837829589844","244.47837829589844"
"132","356.5909118652344","356.5909118652344","356.5909118652344","360.94696044921875","360.94696044921875","360.94696044921875","244.73486328125","244.73486328125","244.73486328125"
"133","357.349609375","357.349609375","357.349609375","360.877197265625","360.877197265625","360.877197265625","244.9874725341797","244.9874725341797","244.9874725341797"
"134","368.407958984375","368.407958984375","368.407958984375","366.6791076660156","366.6791076660156","366.6791076660156","254.8507537841797","254.8507537841797","254.8507537841797"
"135","366.90740966796875","366.90740966796875","366.90740966796875","366.8888854980469","366.8888854980469","366.8888854980469","255.11111450195312","255.11111450195312","255.11111450195312"
"136","367.2303771972656","367.2303771972656","367.2303771972656","366.4705810546875","366.4705810546875","366.4705810546875","255.36764526367188","255.36764526367188","255.36764526367188"
"137","367.62164306640625","367.62164306640625","367.62164306640625","366.6058349609375","366.6058349609375","366.6058349609375","256.1678771972656","256.1678771972656","256.1678771972656"
"138","367.4275207519531","367.4275207519531","367.4275207519531","366.8840637207031","366.8840637207031","366.8840637207031","256.23187255859375","256.23187255859375","256.23187255859375"
"139","367.59588623046875","367.59588623046875","367.59588623046875","367.338134765625","367.338134765625","367.338134765625","255.50360107421875","255.50360107421875","255.50360107421875"
"140","349.9285888671875","349.9285888671875","349.9285888671875","354.14288330078125","354.14288330078125","354.14288330078125","242.85714721679688","242.85714721679688","242.85714721679688"
"141","350.17730712890625","350.17730712890625","350.17730712890625","355.16717529296875","355.16717529296875","355.16717529296875","243.10537719726562","243.10537719726562","243.10537719726562"
"142","350.73944091796875","350.73944091796875","350.73944091796875","355.54327392578125","355.54327392578125","355.54327392578125","242.50503540039062","242.50503540039062","242.50503540039062"
"143","350.3846130371094","350.3846130371094","350.3846130371094","355.9490661621094","355.9490661621094","355.9490661621094","243.2767333984375","243.2767333984375","243.2767333984375"
"144","349.79168701171875","349.79168701171875","349.79168701171875","356.765869140625","356.765869140625","356.765869140625","243.41270446777344","243.41270446777344","243.41270446777344"
"145","350.0689697265625","350.0689697265625","350.0689697265625","357.1231689453125","357.1231689453125","357.1231689453125","243.65025329589844","243.65025329589844","243.65025329589844"
"146","350.65069580078125","350.65069580078125","350.65069580078125","357.23583984375","357.23583984375","357.23583984375","243.74755859375","243.74755859375","243.74755859375"
"147","350.6802673339844","350.6802673339844","350.6802673339844","357.8231201171875","357.8231201171875","357.8231201171875","244.18368530273438","244.18368530273438","244.18368530273438"
"148","350.74322509765625","350.74322509765625","350.74322509765625","357.0849609375","357.0849609375","357.0849609375","252.5531005859375","252.5531005859375","252.5531005859375"
"149","350.9060363769531","350.9060363769531","350.9060363769531","356.49090576171875","356.49090576171875","356.49090576171875","252.95782470703125","252.95782470703125","252.95782470703125"
"150","351.16668701171875","351.16668701171875","351.16668701171875","356.40478515625","356.40478515625","356.40478515625","252.7904815673828","252.7904815673828","252.7904815673828"
"151","351.32452392578125","351.32452392578125","351.32452392578125","370.1655578613281","370.1655578613281","370.1655578613281","252.92337036132812","252.92337036132812","252.92337036132812"
"152","","","","370.72369384765625","370.72369384765625","370.72369384765625","253.0545196533203","253.0545196533203","253.0545196533203"
"153","350.1973876953125","350.1973876953125","350.1973876953125","371.5032653808594","371.5032653808594","371.5032653808594","253.281982421875","253.281982421875","253.281982421875"
"154","","","","371.65582275390625","371.65582275390625","371.65582275390625","253.7662353515625","253.7662353515625","253.7662353515625"
"155","","","","371.8709716796875","371.8709716796875","371.8709716796875","253.79263305664062","253.79263305664062","253.79263305664062"
"156","","","","372.46795654296875","372.46795654296875","372.46795654296875","253.33792114257812","253.33792114257812","253.33792114257812"
"157","","","","372.83441162109375","372.83441162109375","372.83441162109375","253.5577850341797","253.5577850341797","253.5577850341797"
"158","","","","373.60760498046875","373.60760498046875","373.60760498046875","","",""
"159","","","","415.3683776855469","415.3683776855469","415.3683776855469","253.4584197998047","253.4584197998047","253.4584197998047"
"160","","","","402.375","402.375","402.375","","",""
"161","356.93743896484375","356.93743896484375","356.93743896484375","","","","","",""
"164","357.272705078125","357.272705078125","357.272705078125","402.58929443359375","402.58929443359375","402.58929443359375","","",""
"165","","","","","","","253.58041381835938","253.58041381835938","253.58041381835938"
"170","357.63592529296875","357.63592529296875","357.63592529296875","403.2330322265625","403.2330322265625","403.2330322265625","","",""
"171","","","","","","","243.125","243.125","243.125"
"175","358.09063720703125","358.09063720703125","358.09063720703125","403.9915771484375","403.9915771484375","403.9915771484375","","",""
"176","","","","","","","243.52484130859375","243.52484130859375","243.52484130859375"
"179","358.889892578125","358.889892578125","358.889892578125","","","","","",""
"180","","","","404.5884094238281","404.5884094238281","404.5884094238281","","",""
